epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9907,1.51146,1.67816,1.19334,0.89543,0.52365,0.57054,0.33197,1.44183,1.03828,1.19657,0.00047489,0.00047489,0.00047489
2,64.1338,1.43372,1.10583,1.16067,0.93589,0.55694,0.60933,0.36784,1.38761,0.95762,1.19725,0.000941806,0.000941806,0.000941806
3,95.5627,1.42056,1.02536,1.16862,0.92606,0.55026,0.59799,0.34799,1.4477,0.91531,1.21553,0.00139929,0.00139929,0.00139929
4,124.319,1.40292,0.97997,1.16599,0.93899,0.56288,0.61159,0.37728,1.34985,0.78586,1.16484,0.00138656,0.00138656,0.00138656
5,154.585,1.37551,0.91321,1.15353,0.94497,0.55447,0.60973,0.3777,1.33496,0.78731,1.1657,0.00137241,0.00137241,0.00137241
6,185.603,1.36885,0.89456,1.15021,0.94604,0.5619,0.6161,0.38752,1.29764,0.75291,1.14497,0.00135826,0.00135826,0.00135826
7,215.36,1.34575,0.8585,1.13767,0.93821,0.56618,0.61589,0.38863,1.30988,0.73088,1.1531,0.00134412,0.00134412,0.00134412
8,245.327,1.33579,0.84869,1.1365,0.94881,0.56814,0.62132,0.39018,1.30924,0.71334,1.14842,0.00132997,0.00132997,0.00132997
9,275.614,1.32886,0.83439,1.131,0.94621,0.57276,0.62467,0.40104,1.2764,0.69954,1.13433,0.00131582,0.00131582,0.00131582
10,306.464,1.31844,0.81638,1.12532,0.94513,0.56484,0.61858,0.38441,1.31829,0.73257,1.15617,0.00130168,0.00130168,0.00130168
11,336.572,1.31507,0.81361,1.12335,0.95135,0.56768,0.62403,0.38958,1.30341,0.70576,1.16099,0.00128753,0.00128753,0.00128753
12,366.919,1.304,0.79951,1.11593,0.94872,0.57894,0.62711,0.39939,1.29012,0.67782,1.13192,0.00127338,0.00127338,0.00127338
13,396.536,1.30469,0.79021,1.12131,0.94971,0.58453,0.62925,0.40335,1.27615,0.65602,1.13522,0.00125923,0.00125923,0.00125923
14,426.227,1.28897,0.77849,1.11127,0.95305,0.58687,0.6352,0.4058,1.27861,0.65433,1.13698,0.00124509,0.00124509,0.00124509
15,455.55,1.2925,0.77101,1.10805,0.94881,0.58369,0.63118,0.40962,1.25673,0.65009,1.12473,0.00123094,0.00123094,0.00123094
16,486.297,1.27996,0.76664,1.10797,0.9507,0.58521,0.63169,0.40525,1.27589,0.66577,1.13467,0.00121679,0.00121679,0.00121679
17,516.535,1.27061,0.75637,1.09973,0.94945,0.58403,0.63083,0.40388,1.27454,0.65574,1.13595,0.00120265,0.00120265,0.00120265
18,546.628,1.27755,0.75688,1.10585,0.95083,0.59228,0.63649,0.40939,1.25667,0.63884,1.11811,0.0011885,0.0011885,0.0011885
19,576.797,1.27524,0.75729,1.10134,0.95368,0.58746,0.63524,0.409,1.26166,0.64428,1.12532,0.00117435,0.00117435,0.00117435
20,607.208,1.25958,0.73118,1.09799,0.9489,0.58975,0.6362,0.41472,1.25539,0.63665,1.12089,0.00116021,0.00116021,0.00116021
21,637.877,1.25536,0.73214,1.09616,0.9477,0.59611,0.63739,0.41186,1.2633,0.62513,1.12574,0.00114606,0.00114606,0.00114606
22,667.934,1.25882,0.72055,1.0944,0.9497,0.5946,0.63456,0.41341,1.24594,0.62437,1.11976,0.00113191,0.00113191,0.00113191
23,698.097,1.24688,0.72754,1.09503,0.95358,0.59115,0.63678,0.4164,1.25683,0.62229,1.11994,0.00111776,0.00111776,0.00111776
24,728.136,1.24427,0.71629,1.09213,0.95334,0.58637,0.63533,0.41198,1.25299,0.63305,1.12001,0.00110362,0.00110362,0.00110362
25,758.856,1.24881,0.71918,1.09348,0.9489,0.59554,0.63693,0.41615,1.24706,0.61637,1.11687,0.00108947,0.00108947,0.00108947
26,788.508,1.2468,0.71029,1.08559,0.95346,0.59517,0.63888,0.41717,1.24457,0.60816,1.1195,0.00107532,0.00107532,0.00107532
27,817.894,1.24475,0.71922,1.09391,0.95066,0.59466,0.63781,0.41301,1.25169,0.6198,1.11761,0.00106118,0.00106118,0.00106118
28,848.327,1.23913,0.70448,1.08627,0.95293,0.59774,0.63914,0.41686,1.25222,0.60543,1.11529,0.00104703,0.00104703,0.00104703
29,878.67,1.24386,0.70825,1.08348,0.95717,0.5976,0.63984,0.41975,1.22865,0.60495,1.11154,0.00103288,0.00103288,0.00103288
30,908.606,1.22477,0.68974,1.08634,0.95043,0.60163,0.63952,0.41873,1.23486,0.59583,1.11362,0.00101873,0.00101873,0.00101873
31,938.368,1.22355,0.69771,1.08803,0.95493,0.59974,0.64247,0.41845,1.24711,0.59476,1.11528,0.00100459,0.00100459,0.00100459
32,968.239,1.22536,0.68545,1.08224,0.95577,0.59588,0.64246,0.419,1.23334,0.58834,1.1071,0.00099044,0.00099044,0.00099044
33,998.543,1.2266,0.68514,1.08025,0.95413,0.59765,0.64153,0.42448,1.22282,0.59013,1.10505,0.000976293,0.000976293,0.000976293
34,1029.27,1.22746,0.68796,1.07438,0.95766,0.6006,0.64308,0.42324,1.21586,0.58219,1.10027,0.000962146,0.000962146,0.000962146
35,1060.42,1.22322,0.68077,1.07895,0.95274,0.60112,0.64432,0.42378,1.22708,0.58071,1.10865,0.000947999,0.000947999,0.000947999
36,1090.2,1.21338,0.67347,1.0758,0.95126,0.60056,0.64279,0.42338,1.22778,0.58259,1.10786,0.000933851,0.000933851,0.000933851
37,1119.86,1.21334,0.66795,1.07147,0.95087,0.60298,0.64468,0.42708,1.21995,0.57958,1.10556,0.000919704,0.000919704,0.000919704
